method,seed,source,accuracy,f1_macro,auroc_macro,tpr_at_1_fpr_macro,f1_class_0,tpr_at_1_fpr_class_0,f1_class_1,tpr_at_1_fpr_class_1,f1_class_2,tpr_at_1_fpr_class_2,f1_class_3,tpr_at_1_fpr_class_3,creator_retention_mse,creator_retention_pearson,creator_retention_spearman,lexical_mse,lexical_pearson,lexical_spearman,lexical_auroc,lexical_tpr_at_1pct_fpr,humanization_mse,humanization_pearson,humanization_spearman,humanization_auroc,humanization_tpr_at_1pct_fpr
RACE,42,results/pasted_race/fourclass_baseline_official_seed42_lr29e-6/2026-09-14_21-33-26/test_metrics.json,0.9359375,0.906799062204215,0.9839103870964493,0.7790822881685266,0.9817953546767106,0.98875,0.9177177177177177,0.75,0.9391117478510028,0.6301564722617354,0.7885714285714286,0.7474226804123711,,,,,,,,,,,,,
RACE+Editor,42,results/pasted_race/fourclass_dual_official_e2e_seed42/metrics.json,0.949375,0.9217293927315073,0.984799260371752,0.8198272957575046,0.9869646182495344,0.99625,0.9362776025236593,0.85125,0.9520811472542847,0.6792318634423897,0.8115942028985508,0.7525773195876289,,,,0.04669643286682076,0.8731904063386037,0.8301474716240042,0.9865531027515732,0.6202195105324153,0.09658280546634429,0.7030874690241236,0.6455823163558739,0.8685421195652174,0.5827445652173913
RACE+Creator,42,results/pasted_race/fourclass_p6_creator_only_seed42/metrics.json,0.95125,0.9251494934730511,0.9848527096616134,0.8178380669736476,0.9875621890547264,0.995,0.9383945239576851,0.8625,0.9541284403669725,0.666429587482219,0.8205128205128205,0.7474226804123711,0.004097691282262955,0.8285454277065889,0.758881578578449,,,,,,,,,,
RACE+Creator (no fusion),42,results/pasted_race/fourclass_p6_creator_no_fusion_seed42/metrics.json,0.9459375,0.9165500246804431,0.98507814695832,0.817354842464548,0.9875156054931336,0.99375,0.9364589759407773,0.87,0.9476309226932669,0.6479374110953058,0.7945945945945946,0.7577319587628866,0.004151544475858439,0.8347445109533609,0.7598317875455555,,,,,,,,,,
RACE+Creator+Editor,42,results/pasted_race/fourclass_creator_editor_official_seed42/metrics.json,0.9478125,0.9177673605657327,0.9851323613521028,0.8124455390007479,0.9869484151646986,0.995,0.9386733416770964,0.85,0.9499294781382228,0.6522048364153628,0.7955182072829131,0.7525773195876289,0.003951878406078887,0.8412313833382509,0.761634520298847,0.04339184514305457,0.8762372147427484,0.8298221902088072,0.9869546736051534,0.63436498738837,0.10772117019348254,0.7614994267231157,0.7028432678312957,0.9059115454292086,0.7020380434782608
"Full structure, lambda=0",42,results/pasted_race/fourclass_p6_all_lambda_zero_seed42/metrics.json,0.9465625,0.9166928634184358,0.9863769622964321,0.8277162400463405,0.9875311720698254,0.995,0.9378461538461539,0.8725,0.948005698005698,0.6856330014224751,0.7933884297520661,0.7577319587628866,0.41942395846857683,0.007301458317035616,-0.10382855616703854,128.7296963994827,-0.6556936400261877,-0.7090507395283835,0.06835156499549663,0.0,149.27115577587958,0.14028469608452568,0.1321076560682879,0.5724888081800446,0.04035326086956522
RACE,2026,results/pasted_race/fourclass_baseline_official_seed2026_lr29e-6/2026-09-14_22-03-37/test_metrics.json,0.9425,0.9140460741781072,0.9838631503799975,0.8053496108357407,0.9784810126582278,0.99375,0.9227941176470589,0.825,0.9501754385964912,0.6500711237553343,0.8047337278106509,0.7525773195876289,,,,,,,,,,,,,
RACE+Editor,2026,results/pasted_race/fourclass_dual_official_e2e_seed2026/metrics.json,0.9471875,0.9177609629666776,0.9837914140435021,0.8225512943423618,0.9836683417085427,0.99375,0.9312693498452013,0.825,0.9524807826694619,0.7034139402560455,0.8036253776435045,0.7680412371134021,,,,0.04523555085296722,0.8687429693226016,0.829155009046802,0.9845934157105718,0.6426818460699434,0.10608766026943171,0.7157191180042508,0.6597274200226505,0.8789197846989967,0.6683423913043478
RACE+Creator,2026,results/pasted_race/fourclass_p6_creator_only_seed2026/metrics.json,0.9446875,0.9137039095085553,0.9837395483881575,0.8147023159214559,0.9784263959390863,0.995,0.9278846153846154,0.8425,0.9533239038189534,0.6429587482219061,0.7951807228915663,0.7783505154639175,0.0038765089283334564,0.8383499374249794,0.764673478634499,,,,,,,,,,
RACE+Creator (no fusion),2026,results/pasted_race/fourclass_p6_creator_no_fusion_seed2026/metrics.json,0.946875,0.9119080421693776,0.9813281353567813,0.7809848211274215,0.9842668344870988,0.995,0.934984520123839,0.86125,0.9519832985386222,0.5099573257467994,0.7763975155279503,0.7577319587628866,0.0037523314592190406,0.8449384960391213,0.7675515890407536,,,,,,,,,,
